Date,Bitcoin,^BSESN,^GSPC,^IXIC,^N225,^NSEI
2020-02-27,8823.21,39745.66015625,2978.760009765625,8566.48046875,21948.23046875,11633.2998046875
2020-02-28,8692.91,38297.2890625,2954.219970703125,8567.3701171875,21142.9609375,11201.75
2020-03-02,8915.24,38144.01953125,3090.22998046875,8952.169921875,21344.080078125,11132.75
2020-03-03,8760.07,38623.69921875,3003.3701171875,8684.08984375,21082.73046875,11303.2998046875
2020-03-04,8750.87,38409.48046875,3130.1201171875,9018.08984375,21100.060546875,11251.0
2020-03-05,9054.68,38470.609375,3023.93994140625,8738.58984375,21329.119140625,11269.0
2020-03-06,9131.88,37576.62109375,2972.3701171875,8575.6201171875,20749.75,10989.4501953125
2020-03-09,7929.87,35634.94921875,2746.56005859375,7950.68017578125,19698.759765625,10451.4501953125
2020-03-11,7934.52,35697.3984375,2741.3798828125,7952.0498046875,19416.060546875,10458.400390625
2020-03-12,4800.0,32778.140625,2480.639892578125,7201.7998046875,18559.630859375,9590.150390625
2020-03-13,5578.6,34103.48046875,2711.02001953125,7874.8798828125,17431.05078125,9955.2001953125
2020-03-16,5028.97,31390.0703125,2386.1298828125,6904.58984375,17002.0390625,9197.400390625
2020-03-17,5312.64,30579.08984375,2529.18994140625,7334.77978515625,17011.529296875,8967.0498046875
2020-03-18,5393.04,28869.509765625,2398.10009765625,6989.83984375,16726.55078125,8468.7998046875
2020-03-19,6162.37,28288.23046875,2409.389892578125,7150.580078125,16552.830078125,8263.4501953125
2020-03-23,6467.31,25981.240234375,2237.39990234375,6860.669921875,16887.779296875,7610.25
2020-03-24,6744.72,26674.029296875,2447.330078125,7417.85986328125,18092.349609375,7801.0498046875
2020-03-25,6677.43,28535.779296875,2475.56005859375,7384.2998046875,19546.630859375,8317.849609375
2020-03-26,6737.36,29946.76953125,2630.070068359375,7797.5400390625,18664.599609375,8641.4501953125
2020-03-27,6359.11,29815.58984375,2541.469970703125,7502.3798828125,19389.4296875,8660.25
2020-03-30,6394.38,28440.3203125,2626.64990234375,7774.14990234375,19084.970703125,8281.099609375
2020-03-31,6410.44,29468.490234375,2584.590087890625,7700.10009765625,18917.009765625,8597.75
2020-04-01,6642.92,28265.310546875,2470.5,7360.580078125,18065.41015625,8253.7998046875
2020-04-03,6734.1,27590.94921875,2488.64990234375,7373.080078125,17820.189453125,8083.7998046875
2020-04-07,7197.32,30067.2109375,2659.409912109375,7887.259765625,18950.1796875,8792.2001953125
2020-04-08,7361.28,29893.9609375,2749.97998046875,8090.89990234375,19353.240234375,8748.75
2020-04-09,7283.54,31159.619140625,2789.820068359375,8153.580078125,19345.76953125,9111.900390625
2020-04-13,6837.91,30690.01953125,2761.6298828125,8192.419921875,19043.400390625,8993.849609375
2020-04-15,6621.24,30379.810546875,2783.360107421875,8393.1796875,19550.08984375,8925.2998046875
2020-04-16,7101.94,30602.609375,2799.550048828125,8532.3603515625,19290.19921875,8992.7998046875
2020-04-17,7027.55,31588.720703125,2874.56005859375,8650.1396484375,19897.259765625,9266.75
2020-04-20,6826.83,31648.0,2823.159912109375,8560.73046875,19669.119140625,9261.849609375
2020-04-21,6841.37,30636.7109375,2736.56005859375,8263.23046875,19280.779296875,8981.4501953125
2020-04-22,7125.14,31379.55078125,2799.31005859375,8495.3798828125,19137.94921875,9187.2998046875
2020-04-23,7482.39,31863.080078125,2797.800048828125,8494.75,19429.439453125,9313.900390625
2020-04-24,7505.0,31327.220703125,2836.739990234375,8634.51953125,19262.0,9154.400390625
2020-04-27,7774.62,31743.080078125,2878.47998046875,8730.16015625,19783.220703125,9282.2998046875
2020-04-28,7738.98,32114.51953125,2863.389892578125,8607.73046875,19771.189453125,9380.900390625
2020-04-30,8620.0,33717.62109375,2912.429931640625,8889.5498046875,20193.689453125,9859.900390625
2020-05-07,9986.4,31443.380859375,2881.18994140625,8979.66015625,19674.76953125,9199.0498046875
2020-05-08,9800.01,31642.69921875,2929.800048828125,9121.3203125,20179.08984375,9251.5
2020-05-11,8561.52,31561.220703125,2930.18994140625,9192.33984375,20390.66015625,9239.2001953125
2020-05-12,8810.79,31371.119140625,2870.1201171875,9002.5498046875,20366.48046875,9196.5498046875
2020-05-13,9309.37,32008.609375,2820.0,8863.169921875,20267.05078125,9383.5498046875
2020-05-14,9791.98,31122.890625,2852.5,8943.7197265625,19914.779296875,9142.75
2020-05-15,9316.42,31097.73046875,2863.699951171875,9014.5595703125,20037.470703125,9136.849609375
2020-05-18,9733.93,30028.98046875,2953.909912109375,9234.830078125,20133.73046875,8823.25
2020-05-19,9775.53,30196.169921875,2922.93994140625,9185.099609375,20433.44921875,8879.099609375
2020-05-20,9511.43,30818.609375,2971.610107421875,9375.7802734375,20595.150390625,9066.5498046875
2020-05-21,9068.65,30932.900390625,2948.510009765625,9284.8798828125,20552.310546875,9106.25
2020-05-22,9170.0,30672.58984375,2955.449951171875,9324.58984375,20388.16015625,9039.25
2020-05-26,8841.18,30609.30078125,2991.77001953125,9340.2197265625,21271.169921875,9029.0498046875
2020-05-27,9204.07,31605.220703125,3036.1298828125,9412.3603515625,21419.23046875,9314.9501953125
2020-05-28,9575.89,32200.58984375,3029.72998046875,9368.990234375,21916.310546875,9490.099609375
2020-05-29,9427.07,32424.099609375,3044.31005859375,9489.8701171875,21877.890625,9580.2998046875
2020-06-01,10200.77,33303.51953125,3055.72998046875,9552.0498046875,22062.390625,9826.150390625
2020-06-02,9518.04,33825.53125,3080.820068359375,9608.3798828125,22325.609375,9979.099609375
2020-06-03,9666.24,34109.5390625,3122.8701171875,9682.91015625,22613.759765625,10061.5498046875
2020-06-04,9789.06,33980.69921875,3112.35009765625,9615.8095703125,22695.740234375,10029.099609375
2020-06-05,9621.16,34287.23828125,3193.929931640625,9814.080078125,22863.73046875,10142.150390625
2020-06-08,9782.01,34370.578125,3232.389892578125,9924.75,23178.099609375,10167.4501953125
2020-06-09,9772.43,33956.69140625,3207.179931640625,9953.75,23091.029296875,10046.650390625
2020-06-10,9885.0,34247.05078125,3190.139892578125,10020.349609375,23124.94921875,10116.150390625
2020-06-11,9280.4,33538.37109375,3002.10009765625,9492.73046875,22472.91015625,9902.0
2020-06-12,9465.13,33780.890625,3041.31005859375,9588.8095703125,22305.48046875,9972.900390625
2020-06-15,9426.02,33228.80078125,3066.590087890625,9726.01953125,21530.94921875,9813.7001953125
2020-06-16,9525.59,33605.21875,3124.739990234375,9895.8701171875,22582.2109375,9914.0
2020-06-17,9465.14,33507.921875,3113.489990234375,9910.5302734375,22455.759765625,9881.150390625
2020-06-18,9386.32,34208.05078125,3115.340087890625,9943.0498046875,22355.4609375,10091.650390625
2020-06-19,9310.23,34731.73046875,3097.739990234375,9946.1201171875,22478.7890625,10244.400390625
2020-06-22,9685.69,34911.3203125,3117.860107421875,10056.48046875,22437.26953125,10311.2001953125
2020-06-23,9624.89,35430.4296875,3131.2900390625,10131.3701171875,22549.05078125,10471.0
2020-06-24,9296.49,34868.98046875,3050.330078125,9909.169921875,22534.3203125,10305.2998046875
2020-06-25,9249.49,34842.1015625,3083.760009765625,10017.0,22259.7890625,10288.900390625
2020-06-26,9162.21,35171.26953125,3009.050048828125,9757.2197265625,22512.080078125,10383.0
2020-06-29,9192.56,34961.51953125,3053.239990234375,9874.150390625,21995.0390625,10312.400390625
2020-06-30,9138.55,34915.80078125,3100.2900390625,10058.76953125,22288.140625,10302.099609375
2020-07-01,9232.0,35414.44921875,3115.860107421875,10154.6298828125,22121.73046875,10430.0498046875
2020-07-02,9086.54,35843.69921875,3130.010009765625,10207.6298828125,22145.9609375,10551.7001953125
2020-07-06,9344.2,36487.28125,3179.719970703125,10433.650390625,22714.439453125,10763.650390625
2020-07-07,9257.39,36674.51953125,3145.320068359375,10343.8896484375,22614.689453125,10799.650390625
2020-07-08,9436.06,36329.01171875,3169.93994140625,10492.5,22438.650390625,10705.75
2020-07-09,9232.43,36737.69140625,3152.050048828125,10547.75,22529.2890625,10813.4501953125
2020-07-10,9288.34,36594.328125,3185.0400390625,10617.4404296875,22290.810546875,10768.0498046875
2020-07-13,9242.62,36693.69140625,3155.219970703125,10390.83984375,22784.740234375,10802.7001953125
2020-07-14,9255.85,36033.05859375,3197.52001953125,10488.580078125,22587.009765625,10607.349609375
2020-07-15,9197.6,36051.80859375,3226.56005859375,10550.490234375,22945.5,10618.2001953125
2020-07-16,9133.72,36471.6796875,3215.570068359375,10473.830078125,22770.359375,10739.9501953125
2020-07-17,9154.32,37020.140625,3224.72998046875,10503.1904296875,22696.419921875,10901.7001953125
